,0
ද,24761
ඒ,24704
නැහැ,14848
ය,14841
ම,12802
හා,11948
මේ,10744
බව,10341
බටහිර,10128
නො,10097
ඇති,9577
ගැන,9510
මා,8860
එහෙත්,8264
අද,7589
සිංහල,7522
නම්,7376
දී,7271
අප,7074
එය,7056
ඊනියා,6830
ඔවුන්,6304
වෙයි,6238
දෙමළ,5934
කර,5885
ඔහු,5642
කියා,5510
කළ,5339
ව,4897
හැකි,4843
වී,4825
ලෙස,4775
පුළුවන්,4739
අපට,4723
කියන,4622
වූ,4466
කරන්න,4452
තියෙනවා,4393
නිසා,4250
මෙරට,4157
කරන,4068
නැති,4026
එහි,3939
යැයි,3937
කිරීමට,3883
ඇත්තේ,3878
හෝ,3685
යුතු,3647
අවශ්‍ය,3567
ඇත,3507
බෞද්ධ,3477
අතර,3434
සමග,3432
අපේ,3355
එක,3342
අනුව,3291
රනිල්,3252
සඳහා,3244
ඕන,3234
කතා,3221
මට,3214
වේ,3157
පමණක්,3127
ජාතික,3089
විය,3081
කිරීම,3046
අය,2973
යන්න,2962
වෙනත්,2947
විට,2943
තම,2869
එසේ,2835
වන්නේ,2797
මහින්ද,2652
ඔවුන්ට,2618
බැහැ,2613
කරන්නේ,2607
හරි,2580
මහතා,2566
බොහෝ,2560
ඒත්,2556
ගෙන,2477
යම්,2448
ක්‍රිස්තියානි,2428
වන,2421
අපි,2411
තවත්,2385
වුණා,2381
වෙනවා,2355
මෛත්‍රිපාල,2355
ගන්න,2348
නැත,2340
පිළිබඳ,2339
නොව,2335
විරුද්ධ,2323
කියලා,2320
කියන්නේ,2312
දැන්,2308
එයට,2307
නොවන,2258
ආණ්ඩුව,2223
ගැනීමට,2218
වෙන්න,2214
යන,2198
එක්,2194
කරනවා,2159
දේ,2140
කියල,2124
කියන්නෙ,2097
දැනුම,2042
ලබා,2023
අනෙක්,2020
වඩා,2005
මෙන්,1996
වෙලා,1988
කුමක්,1980
කියන්න,1942
මගේ,1941
කළා,1932
පමණයි,1925
පත්,1918
ප්‍රශ්නයක්,1917
ඇතැම්,1889
මත,1883
ශ්‍රී,1874
කටයුතු,1870
කෙසේ,1835
විද්‍යාව,1813
බවට,1811
ජනාධිපති,1779
දෙයක්,1779
විසින්,1769
බවත්,1754
වශයෙන්,1747
සඳහන්,1738
මුස්ලිම්,1738
නොවෙයි,1712
ඔහුට,1706
ප්‍රශ්නය,1678
අවුරුදු,1676
කියනවා,1671
ඉදිරිපත්,1670
එ,1667
නි,1659
වෙනස්,1641
ල,1631
තිබුණා,1627
දේශපාලන,1614
පසුව,1610
නැත්නම්,1592
රටේ,1579
තමයි,1577
වුවත්,1545
වීම,1542
පසු,1534
එකතු,1525
යොදා,1523
වැඩ,1515
ඔවුන්ගේ,1494
අගමැති,1493
වූයේ,1491
විවිධ,1481
අර,1420
එකක්,1416
යනු,1409
රාජ්‍ය,1388
ජා,1388
පැහැදිලි,1383
වෙනුවෙන්,1380
මෙහි,1378
බැරි,1359
නොහැකි,1348
වෙන,1340
කිසිම,1338
ගැනීම,1336
කෙළේ,1336
නිර්මාණය,1329
වැදගත්,1322
බටහිරයන්,1309
පෙර,1306
වගේ,1295
වැඩි,1291
ඒක,1282
සංස්කෘතිය,1277
වහන්සේ,1273
බොරු,1273
සිදු,1270
මහා,1264
ඉවත්,1258
තිබෙනවා,1253
රට,1237
ක්‍රියාත්මක,1237
ඉන්න,1230
තමන්,1218
ප්‍රශ්න,1214
තේරුම්,1214
විරුද්ධව,1197
ප්‍රධාන,1192
නමුත්,1191
මිස,1183
පරාජය,1171
එවැනි,1170
පක්ෂ,1165
සම්බන්ධයෙන්,1158
රාජපක්ෂ,1158
පක්ෂය,1155
තියෙන්නෙ,1154
යුතුයි,1153
සිට,1148
ඉන්නවා,1142
පමණ,1141
අමරතුංග,1126
ඉතා,1124
දැන,1121
මගින්,1116
වීමට,1115
දැයි,1104
දෙවියන්,1096
ගෝචර,1091
බලය,1091
සියල්ල,1065
ජනයා,1061
වැනි,1055
සිංහලයන්,1040
ජ,1035
ගත,1033
වෛද්‍ය,1030
එහෙම,1025
නව,1022
නැතිව,1021
ආදී,1018
කී,1006
වි,1003
පදනම්,999
ලංකාවේ,994
අදහස්,994
ජනතාව,994
උත්සාහ,989
ඉන්දියාව,989
ප්‍රකාශ,988
පළාත්,986
යුත්තේ,977
බවයි,970
තවමත්,967
තියෙන,959
දැනුම්,957
පඬියන්,954
මෙය,949
කරුණු,939
ප,934
සංකල්ප,932
කරන්නෙ,930
බෞද්ධයන්,922
අයට,921
චින්තනය,918
රටවල,912
වියුක්ත,906
එකල,898
ඉංගිරිසි,896
ඇයි,893
තිබූ,892
ඔවුහු,890
ආදිය,886
ඉඩ,886
ඇතැයි,874
ඔහුගේ,862
සිටි,861
මම,859
පක්ෂයේ,856
පසුගිය,849
පඬි,848
ඒකාබද්ධ,846
ව්‍යවස්ථා,845
ඡන්ද,845
දන්නේ,843
ඉන්,843
මනස,837
සංස්කෘතියට,837
පාර්ලිමේන්තුව,835
ක්‍රියා,826
ගත්,824
සමහර,817
වුණත්,814
දන්නවා,813
විද්‍යාවේ,811
භෞතික,810
අදාළ,808
කතාව,802
සංස්කෘතික,789
වැඩක්,789
දෙන්න,789
ඔය,786
තිබුණේ,781
වෙතත්,777
හේතුව,771
දෙකක්,769
විරෝධී,765
විශ්වාස,764
කලින්,761
ගිය,756
නීතිය,754
ක්‍රමය,745
සිටින,741
එක්සත්,738
රාජ්‍යයක්,735
නිදහස්,732
දෙනකු,732
අඩු,731
ඡන්දය,731
වෙන්නෙ,730
එදා,729
ජාතිවාදය,728
එයින්,728
විධියට,727
බවක්,727
පිරිසක්,723
යනුවෙන්,721
තමන්ට,721
දා,720
ව්‍යවස්ථාව,720
තීරණය,720
වැරදි,715
රටවල්,715
සාමාන්‍ය,714
අයකු,713
ලිපි,711
ඉංගිරිසින්,711
ගෝඨාභය,706
දෙන,703
මොකක්,702
අමතක,700
නායකයන්,700
සිටියේ,699
තව,696
හොඳ,695
ලෝකයේ,694
විද්‍යාඥයන්,692
කිසිවක්,689
කළේ,688
මෛත්‍රිපාලට,688
වෙති,686
ලද,681
පෙ,679
ආණ්ඩුවට,677
දීමට,677
ඉගෙන,674
ගත්තා,673
දේශපාලනය,672
සියළු,671
කොළඹ,671
ලෝකය,668
තරම්,664
කිරීමේ,663
කතාවක්,662
බලතල,659
සම්මත,658
දෙනා,657
කොහොම,657
ආකාරයට,655
සිංහලයන්ට,654
කරලා,652
මිනිසුන්,649
පෙනී,643
නීති,643
ආණ්ඩුවක්,643
අයත්,642
දැනුමක්,642
මැතිවරණ,638
රනිල්ට,638
පට්ටපල්,637
ගන්නවා,636
මහතාට,632
ඇතැමුන්,632
යනවා,630
කරල,630
ආසනික්,629
පරිදි,627
ලංකා,625
නැවතත්,623
සම්බන්ධ,620
ජාතිකත්වය,617
ගොස්,617
විධායක,616
කාලය,616
කිව,615
කතෝලික,614
කිහිප,614
ඉතිහාසය,613
මානව,611
ආධිපත්‍යය,610
පස්සෙ,609
සහ,609
විශාල,609
අතට,609
බැවින්,605
බුදුදහම,605
රාජ්‍යය,603
එකඟ,602
ප්‍රවාද,601
අධ්‍යාපනය,598
දේශපාලනඥයන්,595
ගන්නා,586
සිරිසේන,584
කියැවෙන්නේ,581
වේවි,579
ලංකාවට,579
වුණෙ,578
පොදු,578
වෙද,577
එකම,577
රටට,574
කිසි,574
සාකච්ඡා,573
දන්නෙ,569
හැක්කේ,569
සභා,568
වුණේ,568
උගතුන්,567
ඉන්ද්‍රිය,564
යමක්,564
කරමින්,563
කල්,562
යටතේ,561
විශේෂයෙන්,553
එනම්,552
ශක්තිය,551
ඊයේ,547
ඇතුළු,544
කරමු,542
පංචෙන්ද්‍රිය,542
ආණ්ඩු,542
කෙරෙන්නේ,542
කොටි,540
එතරම්,539
ආණ්ඩුවේ,537
තිබිය,530
පළ,530
ප්‍රතික්ෂෙප,530
අයිතිවාසිකම්,530
ජනමාධ්‍ය,528
කිරීමෙන්,524
යෑමට,523
මූලික,521
විද්‍යා,520
පෞද්ගලික,518
පාර්ලිමේන්තුවේ,518
නැවත,516
පක්ෂයට,515
දීම,513
දිය,512
අහෝසි,510
එමෙන්,509
ගියා,509
