index,corrected_sentence
129449,රනිල් වික්‍රමසිංහ මහතා කිසි විටෙකත් විධායක අගමැති ධුරයට නොව අගමැති ධුරයටවත් නීත්‍යානුකූල ව පත් නො කෙරිණි
130603,රාධලා සීතලා අපේ නොවෙයි
134878,විදුලි වසන්තය ද බටහිර අධ්‍යාපනය විසින් බිහිකර ඇති කසිකබලුන් ද පරදවා පුර්ණ නිදහස දිනා ගනිමු
27705,එනම් සංස්කෘතියකින් තොරව ජීවත් වන සිතන යමෙක් ඇත්ද සිංහල දෙමළ මුස්ලිම් නොවන මේ සාධාරණ ශ්‍රි ලාංකිකයන් යනු කවුරුන්ද එම ශ්‍රි ලාංකිකයන් යනු බටහිර සංස්කෘතියට අනුකලිත බටහිර අධ්‍යාපනයක් ලබන බටහිරයන් අපට උගන්වා ඇති ඊනියා බහු සංස්කෘතියක ජීවත්වන බටහිරයන් මෙන් සිතන පතන ලාංකිකයන්ය
2017,අද කතෝලික නොවෙයි යුරෝපීය ක්‍රිස්තියානි නිකායනුත් බල රහිත වෙමින් පවතිනවා
4121,අද රිපබ්ලිකන් පක්ෂයේ ඇතැමුන් ට්‍රම්ප්ට ජනාධිවරණයෙන් ඉවත්වන ලෙස බලකරනවා
106116,භෞතිකත්වයට සහ ඉන්ද්‍රිය පිනවීමට මූලිකත්වය දෙන මේ නිර්ණායක වලින් ලබාගන්නා දියුණුවට වැඩි ආයුෂ නැත
119152,මෙහි අරමුණ විධායක ජනාධිපති බලතල කප්පාදු කර විධායක අගමැතිවරයකු ඇති කිරීම මිස පාර්ලිමේන්තුවට බලය පැවරීම නො වේ
105573,බොහෝ සරසවි ඇදුරෝ චින්තනය තබා සුසමාදර්ශය යන්නවත් නො දනිති
79,අංශුවට නිරීක්ෂකයාට සාපේක්ෂක ව ගම්‍යතා රාශියක් ඇත
50341,ඒ ගනුදෙනුවට අපේ ස්වෛරීභාවය යට කළ යුතු නො වේ
137815,ශිරන්ත පරීක්ෂණය සඳහා ඉදිරිපත් වී ඇත්තේ ස්වෙච්ඡාවෙන් සෞඛ්‍ය නිලධාරිතුමාගේ බය නැති කිරීමේ කතාව මහජන සෞඛ්‍ය නිලධාරීන්ගේ කැපවීම හා හුමාලය අල්ලන්න කීම හා තවත් දුන් උපදෙස ඔවුන් විස්තර සොයා ගැනීම ශිරන්තගේ ආරක්ෂාකාරී පිළිවෙත හා ඔහු දෙන උපදෙස්
140778,ස්වෙච්ඡාවෙන් පැමිණි ඔවුහු දින දෙකක් ඉතා සංසුන්ව සාවධානව විවාදය නැරඹූහ
35911,එසේත් නැතහොත් පරිසරයක් නැති ලෝකයකි
39447,එහෙත් එදා පාර්ලිමේන්තුව නිවැරදි බවට ගත් තීන්දුවක් වෙනස් කිරීමට අද හැකියාවක් ඇත්නම් ඒ අගමැතිට හෝ ජනාධිපතිට හෝ නොව පාර්ලිමේන්තුවට පමණ ය
79485,චිත්ත ශක්තිය දියුණු කරගත් අයකුට තුසිතයේ හෝ තව්තිසාවෙහි හෝ සිදුවන්නක් මේ මොහොතේ ම පොළොවේ සිට බලාගත හැකි ය
84282,තරු පහේ හතරේ හෝටල්වල පහර දීමෙන් බලාපොරොත්තු වී ඇත්තේ විදේශිකයන් යම් ප්‍රමාණයක් ඝාතනය කිරීමයි
91358,නව සේද මාර්ගයේ සේද රෙදි එලිමට බොහෝ රටවල් සූදානම් නැත
122382,මේ පක්ෂ ගැන බොහෝ දෙනා අසාවත් නැහැ
136744,වෙනත් වචනවලින් කිවහොත් විශ්වයෙහි කිසිම ප්‍රාණියකු කකුල් පහේ සතකු දැක හෝ අතගා බලා හෝ නැතිවා වන්නට හැකි ය
101932,බටහිර විද්‍යාවේ අංගයක් වන විශ්ලේෂණය මගින් මෙම වෛරසයේ ස්වභාවික ප්‍රමාණය සැකැස්ම අන්තර්ගත කොටස් ඒ වටා ලිපිඩ ආවරණයක් ඇති බවත් ආදී වශයෙන් විස්තර කරමින් වෛරසය උෂ්ණත්වයට සහ අනෙකුත් පරිසර සාධක අනුව වෙනස් වන්නේ කෙසේද ව්‍යාප්ත වන්නෙ කෙසේද ආදී මෙකී නොකී නොයෙකුත් දැනුම ඔවුන්ගේ ක්‍රමයට ලබාගෙන තිබුනත් මෙය ආසාදිත වූවන්ට ප්‍රතිකාර කිරීම හෝ ව්‍යාප්තිය පාලනය අසාර්ථක වී තිබේ
52136,ඒ නිසා බැඳුනු මානයෙන් මනස යමක් දැන ගන්නාවිට කාලය හෝ අවකාශය අදාල නොවේ
136825,වෙන් කෙරීම හා බදා ගැනීම නිසා හටගන්නා හිමිවේය හෝ අහිමිවේය හෝ යන බිය ඇමරිකන් බියය
103464,බදා ගන්නා ගතියට පුරුදු වෙනවිට ගැලී නොගැලී සිටීමට හෝ ගැලෙන්නෙත් නැතිව නොගැලෙන්නෙත් නැතිව සිටීමට ඇති හැකියාව දුර්වල වේ
